x1,x1_mean,condition,binchoice,bincorrect,x2,x2_mean,xavg,estim,binrt,subj,x1_relative,x2_relative
53.125,2,-1,1,1,40.625,4,46.875,NaN,0.607453663600609,1,3.125,-9.375
55.25,2,-1,1,1,42.25,4,48.75,NaN,0.952918946393766,1,5.25,-7.75
50.75,2,-1,1,1,46.625,3,48.6875,NaN,0.402474069502205,1,0.75,-3.375
45.875,3,-1,1,0,45.75,3,45.8125,NaN,1.32517221919261,1,-4.125,-4.25
47.75,3,-1,1,0,52.125,2,49.9375,NaN,0.96397129248362,1,-2.25,2.125
52.625,2,-1,1,1,58.375,1,55.5,NaN,2.06097871623933,1,2.625,8.375
50.625,2,-1,1,1,50.5,2,50.5625,NaN,0.592718684114516,1,0.625,0.5
53.625,2,-1,-1,0,46.5,3,50.0625,NaN,1.66451836272608,1,3.625,-3.5
47.375,3,-1,-1,1,58.25,1,52.8125,NaN,0.924582769395784,1,-2.625,8.25
52.125,2,-1,1,1,48.75,3,50.4375,NaN,0.917290697805583,1,2.125,-1.25
54.125,2,-1,1,1,44.5,3,49.3125,NaN,1.19278690952342,1,4.125,-5.5
47.5,3,-1,1,0,41.5,4,44.5,NaN,0.680499687674455,1,-2.5,-8.5
51.25,2,-1,1,1,45.75,3,48.5,NaN,0.553108342923224,1,1.25,-4.25
54.875,2,-1,1,1,58.125,1,56.5,NaN,0.521891617332585,1,4.875,8.125
50.25,2,-1,1,1,58,1,54.125,NaN,1.69157307012938,1,0.25,8
50.875,2,-1,1,1,42.375,4,46.625,NaN,0.557004661415704,1,0.875,-7.625
46.25,3,-1,-1,1,46.625,3,46.4375,NaN,0.845502226264216,1,-3.75,-3.375
46.5,3,-1,1,0,47.5,3,47,NaN,1.52443709562067,1,-3.5,-2.5
47.125,3,-1,1,0,60.875,1,54,NaN,0.757925273966976,1,-2.875,10.875
54,2,-1,1,1,62.375,1,58.1875,NaN,0.854242496890947,1,4,12.375
46.875,3,-1,1,0,60,1,53.4375,NaN,0.40393272228539,1,-3.125,10
48.5,3,-1,1,0,59.375,1,53.9375,NaN,1.54377099138219,1,-1.5,9.375
